Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
1	0.007409984	1/1/1965	cooler	cooler	cooler	-0.068	-0.103	1	-0.127	1965	1965/01
2	0.831713338	2/1/1965	cooler	cooler	cooler	-0.209	-0.244	1	-0.27	1965	1965/02
3	0.62184024	3/1/1965	cooler	cooler	cooler	-0.171	-0.215	1	-0.246	1965	1965/03
4	0.752491531	4/1/1965	cooler	cooler	cooler	-0.22	-0.255	1	-0.276	1965	1965/04
5	0.2430298	5/1/1965	cooler	cooler	cooler	-0.125	-0.159	1	-0.186	1965	1965/05
6	0.290787242	6/1/1965	cooler	cooler	cooler	-0.076	-0.11	1	-0.138	1965	1965/06
7	0.219597026	7/1/1965	cooler	cooler	cooler	-0.145	-0.181	1	-0.206	1965	1965/07
8	0.36852058	8/1/1965	cooler	cooler	cooler	-0.072	-0.112	1	-0.137	1965	1965/08
9	0.778256585	9/1/1965	cooler	cooler	cooler	-0.064	-0.095	1	-0.121	1965	1965/09
10	0.957433643	10/1/1965	warmer	cooler	cooler	0.003	-0.03	1	-0.054	1965	1965/10
11	0.474238915	11/1/1965	cooler	cooler	cooler	-0.108	-0.14	1	-0.17	1965	1965/11
12	0.784861578	12/1/1965	cooler	cooler	cooler	-0.034	-0.066	1	-0.096	1965	1965/12
1	0.405737133	1/1/1966	cooler	cooler	cooler	-0.063	-0.096	1	-0.123	1966	1966/01
2	0.494299242	2/1/1966	cooler	cooler	cooler	-0.064	-0.094	1	-0.123	1966	1966/02
3	0.996846794	3/1/1966	cooler	cooler	cooler	-0.03	-0.063	1	-0.091	1966	1966/03
4	0.156026636	4/1/1966	cooler	cooler	cooler	-0.078	-0.107	1	-0.133	1966	1966/04
5	0.497755009	5/1/1966	cooler	cooler	cooler	-0.112	-0.141	1	-0.165	1966	1966/05
6	0.862973411	6/1/1966	warmer	warmer	warmer	0.066	0.035	1	0.011	1966	1966/06
7	0.017384386	7/1/1966	warmer	warmer	warmer	0.063	0.031	1	0.007	1966	1966/07
8	0.941347814	8/1/1966	warmer	cooler	cooler	0.009	-0.022	1	-0.045	1966	1966/08
9	0.140099068	9/1/1966	cooler	cooler	cooler	-0.015	-0.04	1	-0.064	1966	1966/09
10	0.563842749	10/1/1966	cooler	cooler	cooler	-0.073	-0.105	1	-0.129	1966	1966/10
11	0.439891249	11/1/1966	cooler	cooler	cooler	-0.071	-0.096	1	-0.123	1966	1966/11
12	0.77624274	12/1/1966	cooler	cooler	cooler	-0.113	-0.144	1	-0.168	1966	1966/12
1	0.363214502	1/1/1967	cooler	cooler	cooler	-0.144	-0.167	1	-0.188	1967	1967/01
2	0.914428238	2/1/1967	cooler	cooler	cooler	-0.205	-0.235	1	-0.257	1967	1967/02
3	0.572897454	3/1/1967	cooler	cooler	cooler	-0.026	-0.052	1	-0.08	1967	1967/03
4	0.021904246	4/1/1967	cooler	cooler	cooler	-0.037	-0.068	1	-0.089	1967	1967/04
5	0.331416857	5/1/1967	warmer	warmer	warmer	0.099	0.073	1	0.05	1967	1967/05
6	0.850129499	6/1/1967	cooler	cooler	cooler	-0.058	-0.086	1	-0.111	1967	1967/06
7	0.954757631	7/1/1967	cooler	cooler	cooler	-0.029	-0.066	1	-0.09	1967	1967/07
8	0.907389409	8/1/1967	cooler	cooler	cooler	-0.04	-0.065	1	-0.085	1967	1967/08
9	0.191262314	9/1/1967	cooler	cooler	cooler	-0.079	-0.097	1	-0.118	1967	1967/09
10	0.962174744	10/1/1967	warmer	warmer	warmer	0.079	0.06	1	0.046	1967	1967/10
11	0.020548657	11/1/1967	cooler	cooler	cooler	-0.046	-0.064	1	-0.083	1967	1967/11
12	0.457863246	12/1/1967	cooler	cooler	cooler	-0.131	-0.151	1	-0.173	1967	1967/12
1	0.670098003	1/1/1968	cooler	cooler	cooler	-0.224	-0.242	1	-0.263	1968	1968/01
2	0.823590873	2/1/1968	cooler	cooler	cooler	-0.198	-0.214	1	-0.233	1968	1968/02
3	0.810208371	3/1/1968	warmer	warmer	warmer	0.055	0.036	1	0.015	1968	1968/03
4	0.330549504	4/1/1968	cooler	cooler	cooler	-0.15	-0.17	1	-0.188	1968	1968/04
5	0.516468482	5/1/1968	cooler	cooler	cooler	-0.201	-0.221	1	-0.239	1968	1968/05
6	0.648933229	6/1/1968	cooler	cooler	cooler	-0.086	-0.106	1	-0.126	1968	1968/06
7	0.928284994	7/1/1968	cooler	cooler	cooler	-0.086	-0.103	1	-0.122	1968	1968/07
8	0.722443547	8/1/1968	cooler	cooler	cooler	-0.039	-0.06	1	-0.08	1968	1968/08
9	0.076369029	9/1/1968	cooler	cooler	cooler	-0.065	-0.086	1	-0.107	1968	1968/09
10	0.421348902	10/1/1968	warmer	cooler	cooler	0.002	-0.018	1	-0.036	1968	1968/10
11	0.962785904	11/1/1968	cooler	cooler	cooler	-0.051	-0.07	1	-0.094	1968	1968/11
12	0.798338655	12/1/1968	cooler	cooler	cooler	-0.085	-0.11	1	-0.131	1968	1968/12
1	0.023161279	1/1/1969	cooler	cooler	cooler	-0.155	-0.171	1	-0.19	1969	1969/01
2	0.543182317	2/1/1969	cooler	cooler	cooler	-0.152	-0.17	1	-0.19	1969	1969/02
3	0.888207395	3/1/1969	warmer	cooler	cooler	0.014	-0.004	1	-0.024	1969	1969/03
4	0.289281237	4/1/1969	warmer	warmer	warmer	0.131	0.108	1	0.086	1969	1969/04
5	0.94955735	5/1/1969	warmer	warmer	warmer	0.149	0.126	1	0.108	1969	1969/05
6	0.167903435	6/1/1969	warmer	warmer	warmer	0.04	0.023	1	0.003	1969	1969/06
7	0.415182933	7/1/1969	warmer	warmer	warmer	0.055	0.038	1	0.014	1969	1969/07
8	0.93065151	8/1/1969	warmer	warmer	warmer	0.078	0.051	1	0.03	1969	1969/08
9	0.777784422	9/1/1969	warmer	cooler	warmer	0.035	0.015	1	-0.004	1969	1969/09
10	0.239090689	10/1/1969	warmer	warmer	warmer	0.044	0.023	1	0.001	1969	1969/10
11	0.112700926	11/1/1969	warmer	warmer	warmer	0.153	0.132	1	0.108	1969	1969/11
12	0.794896253	12/1/1969	warmer	warmer	warmer	0.222	0.194	1	0.173	1969	1969/12
1	0.703234103	1/1/1970	warmer	warmer	warmer	0.089	0.072	1	0.05	1970	1970/01
2	0.130404248	2/1/1970	warmer	warmer	warmer	0.163	0.143	1	0.121	1970	1970/02
3	0.366976708	3/1/1970	cooler	cooler	cooler	-0.052	-0.069	1	-0.091	1970	1970/03
4	0.191341627	4/1/1970	warmer	warmer	warmer	0.082	0.058	1	0.039	1970	1970/04
5	0.768341219	5/1/1970	cooler	cooler	cooler	-0.01	-0.036	1	-0.059	1970	1970/05
6	0.632731542	6/1/1970	warmer	cooler	cooler	0.007	-0.014	1	-0.037	1970	1970/06
7	0.855656142	7/1/1970	cooler	cooler	cooler	-0.026	-0.049	1	-0.073	1970	1970/07
8	0.059939754	8/1/1970	cooler	cooler	cooler	-0.066	-0.09	1	-0.112	1970	1970/08
9	0.030846688	9/1/1970	cooler	cooler	cooler	-0.017	-0.039	1	-0.058	1970	1970/09
10	0.95083295	10/1/1970	cooler	cooler	cooler	-0.056	-0.074	1	-0.094	1970	1970/10
11	0.842236161	11/1/1970	cooler	cooler	cooler	-0.027	-0.049	1	-0.068	1970	1970/11
12	0.803794975	12/1/1970	cooler	cooler	cooler	-0.139	-0.165	1	-0.184	1970	1970/12
1	0.262392693	1/1/1971	cooler	cooler	cooler	-0.078	-0.097	1	-0.116	1971	1971/01
2	0.917824019	2/1/1971	cooler	cooler	cooler	-0.269	-0.291	1	-0.309	1971	1971/02
3	0.615872384	3/1/1971	cooler	cooler	cooler	-0.261	-0.286	1	-0.305	1971	1971/03
4	0.853223175	4/1/1971	cooler	cooler	cooler	-0.214	-0.237	1	-0.255	1971	1971/04
5	0.316888439	5/1/1971	cooler	cooler	cooler	-0.187	-0.215	1	-0.232	1971	1971/05
6	0.700076833	6/1/1971	cooler	cooler	cooler	-0.209	-0.233	1	-0.256	1971	1971/06
7	0.613049195	7/1/1971	cooler	cooler	cooler	-0.106	-0.129	1	-0.15	1971	1971/07
8	0.883459275	8/1/1971	cooler	cooler	cooler	-0.139	-0.168	1	-0.187	1971	1971/08
9	0.926003863	9/1/1971	cooler	cooler	cooler	-0.096	-0.123	1	-0.137	1971	1971/09
10	0.149129826	10/1/1971	cooler	cooler	cooler	-0.137	-0.16	1	-0.177	1971	1971/10
11	0.294919429	11/1/1971	cooler	cooler	cooler	-0.056	-0.08	1	-0.097	1971	1971/11
12	0.143828086	12/1/1971	cooler	cooler	cooler	-0.177	-0.204	1	-0.224	1971	1971/12
1	0.910902256	1/1/1972	cooler	cooler	cooler	-0.353	-0.376	1	-0.396	1972	1972/01
2	0.904942643	2/1/1972	cooler	cooler	cooler	-0.265	-0.287	1	-0.306	1972	1972/02
3	0.636625625	3/1/1972	cooler	cooler	cooler	-0.105	-0.134	1	-0.149	1972	1972/03
4	0.722959263	4/1/1972	cooler	cooler	cooler	-0.053	-0.079	1	-0.096	1972	1972/04
5	0.458638186	5/1/1972	cooler	cooler	cooler	-0.04	-0.065	1	-0.085	1972	1972/05
6	0.908290092	6/1/1972	warmer	cooler	warmer	0.027	0.003	1	-0.015	1972	1972/06
7	0.217361456	7/1/1972	warmer	cooler	cooler	0.002	-0.025	1	-0.044	1972	1972/07
8	0.561024916	8/1/1972	warmer	cooler	warmer	0.037	0.013	1	-0.005	1972	1972/08
9	0.073079802	9/1/1972	cooler	cooler	cooler	-0.037	-0.059	1	-0.075	1972	1972/09
10	0.421041656	10/1/1972	warmer	cooler	warmer	0.022	0.002	1	-0.013	1972	1972/10
11	0.409978724	11/1/1972	warmer	cooler	cooler	0.021	-0.005	1	-0.019	1972	1972/11
12	0.972467481	12/1/1972	warmer	warmer	warmer	0.21	0.183	1	0.169	1972	1972/12
1	0.392262071	1/1/1973	warmer	warmer	warmer	0.166	0.146	1	0.132	1973	1973/01
2	0.866728045	2/1/1973	warmer	warmer	warmer	0.3	0.276	1	0.261	1973	1973/02
3	0.037108601	3/1/1973	warmer	warmer	warmer	0.253	0.226	1	0.21	1973	1973/03
4	0.707688956	4/1/1973	warmer	warmer	warmer	0.181	0.162	1	0.145	1973	1973/04
5	0.2821866	5/1/1973	warmer	warmer	warmer	0.107	0.086	1	0.068	1973	1973/05
6	0.991055604	6/1/1973	warmer	warmer	warmer	0.128	0.11	1	0.095	1973	1973/06
7	0.710724697	7/1/1973	warmer	warmer	warmer	0.046	0.025	1	0.009	1973	1973/07
8	0.972296757	8/1/1973	warmer	warmer	warmer	0.036	0.018	1	0.005	1973	1973/08
9	0.686520894	9/1/1973	cooler	cooler	cooler	-0.019	-0.038	1	-0.056	1973	1973/09
10	0.075001966	10/1/1973	cooler	cooler	cooler	-0.025	-0.041	1	-0.059	1973	1973/10
11	0.464528884	11/1/1973	cooler	cooler	cooler	-0.075	-0.095	1	-0.11	1973	1973/11
12	0.086599872	12/1/1973	cooler	cooler	cooler	-0.09	-0.108	1	-0.126	1973	1973/12
1	0.642432034	1/1/1974	cooler	cooler	cooler	-0.357	-0.376	1	-0.393	1974	1974/01
2	0.741618704	2/1/1974	cooler	cooler	cooler	-0.391	-0.406	1	-0.424	1974	1974/02
3	0.65321907	3/1/1974	cooler	cooler	cooler	-0.215	-0.233	1	-0.254	1974	1974/03
4	0.043350139	4/1/1974	cooler	cooler	cooler	-0.16	-0.179	1	-0.195	1974	1974/04
5	0.322087671	5/1/1974	cooler	cooler	cooler	-0.176	-0.195	1	-0.214	1974	1974/05
6	0.620292386	6/1/1974	cooler	cooler	cooler	-0.134	-0.151	1	-0.168	1974	1974/06
7	0.903798294	7/1/1974	cooler	cooler	cooler	-0.107	-0.125	1	-0.145	1974	1974/07
8	0.438975591	8/1/1974	cooler	cooler	cooler	-0.063	-0.082	1	-0.094	1974	1974/08
9	0.822109682	9/1/1974	cooler	cooler	cooler	-0.113	-0.129	1	-0.145	1974	1974/09
10	0.735949738	10/1/1974	cooler	cooler	cooler	-0.201	-0.215	1	-0.232	1974	1974/10
11	0.333430823	11/1/1974	cooler	cooler	cooler	-0.193	-0.211	1	-0.229	1974	1974/11
12	0.512807414	12/1/1974	cooler	cooler	cooler	-0.217	-0.237	1	-0.257	1974	1974/12
1	0.425509361	1/1/1975	cooler	cooler	cooler	-0.054	-0.071	1	-0.086	1975	1975/01
2	0.381432276	2/1/1975	cooler	cooler	cooler	-0.077	-0.092	1	-0.108	1975	1975/02
3	0.272544374	3/1/1975	cooler	cooler	cooler	-0.058	-0.075	1	-0.094	1975	1975/03
4	0.844714059	4/1/1975	cooler	cooler	cooler	-0.072	-0.088	1	-0.103	1975	1975/04
5	0.288852911	5/1/1975	cooler	cooler	cooler	-0.063	-0.083	1	-0.098	1975	1975/05
6	0.060267276	6/1/1975	cooler	cooler	cooler	-0.067	-0.084	1	-0.1	1975	1975/06
7	0.286139048	7/1/1975	cooler	cooler	cooler	-0.092	-0.109	1	-0.125	1975	1975/07
8	0.088621387	8/1/1975	cooler	cooler	cooler	-0.16	-0.179	1	-0.192	1975	1975/08
9	0.268986373	9/1/1975	cooler	cooler	cooler	-0.108	-0.126	1	-0.142	1975	1975/09
10	0.462662189	10/1/1975	cooler	cooler	cooler	-0.214	-0.228	1	-0.247	1975	1975/10
11	0.81089529	11/1/1975	cooler	cooler	cooler	-0.296	-0.313	1	-0.328	1975	1975/11
12	0.726461524	12/1/1975	cooler	cooler	cooler	-0.289	-0.304	1	-0.323	1975	1975/12
1	0.180258035	1/1/1976	cooler	cooler	cooler	-0.217	-0.23	1	-0.244	1976	1976/01
2	0.671787876	2/1/1976	cooler	cooler	cooler	-0.306	-0.323	1	-0.341	1976	1976/02
3	0.630573336	3/1/1976	cooler	cooler	cooler	-0.426	-0.442	1	-0.46	1976	1976/03
4	0.653918907	4/1/1976	cooler	cooler	cooler	-0.178	-0.196	1	-0.212	1976	1976/04
5	0.854600674	5/1/1976	cooler	cooler	cooler	-0.3	-0.317	1	-0.333	1976	1976/05
6	0.734034612	6/1/1976	cooler	cooler	cooler	-0.232	-0.25	1	-0.265	1976	1976/06
7	0.870215804	7/1/1976	cooler	cooler	cooler	-0.169	-0.185	1	-0.204	1976	1976/07
8	0.393332684	8/1/1976	cooler	cooler	cooler	-0.182	-0.201	1	-0.218	1976	1976/08
9	0.382499155	9/1/1976	cooler	cooler	cooler	-0.142	-0.164	1	-0.18	1976	1976/09
10	0.146545429	10/1/1976	cooler	cooler	cooler	-0.298	-0.313	1	-0.33	1976	1976/10
11	0.27491171	11/1/1976	cooler	cooler	cooler	-0.154	-0.176	1	-0.19	1976	1976/11
12	0.772126267	12/1/1976	cooler	cooler	cooler	-0.063	-0.081	1	-0.097	1976	1976/12
1	0.651302131	1/1/1977	cooler	cooler	cooler	-0.065	-0.081	1	-0.097	1977	1977/01
2	0.755036918	2/1/1977	warmer	warmer	warmer	0.095	0.079	1	0.063	1977	1977/02
3	0.863160348	3/1/1977	warmer	warmer	warmer	0.123	0.252	1	0.087	1977	1977/03
4	0.725777787	4/1/1977	warmer	warmer	warmer	0.112	0.094	1	0.077	1977	1977/04
5	0.124785298	5/1/1977	warmer	warmer	warmer	0.091	0.069	1	0.053	1977	1977/05
6	0.168090701	6/1/1977	warmer	warmer	warmer	0.131	0.109	1	0.096	1977	1977/06
7	0.507150984	7/1/1977	warmer	warmer	warmer	0.08	0.06	1	0.042	1977	1977/07
8	0.532863085	8/1/1977	warmer	cooler	cooler	0.017	-0.001	1	-0.016	1977	1977/08
9	0.273014118	9/1/1977	warmer	warmer	warmer	0.054	0.032	1	0.021	1977	1977/09
10	0.20399165	10/1/1977	warmer	cooler	cooler	0.011	-0.006	1	-0.019	1977	1977/10
11	0.072689692	11/1/1977	warmer	warmer	warmer	0.153	0.137	1	0.123	1977	1977/11
12	0.203129193	12/1/1977	cooler	cooler	cooler	-0.036	-0.056	1	-0.071	1977	1977/12
1	0.072398566	1/1/1978	warmer	cooler	warmer	0.034	0.014	1	-0.002	1978	1978/01
2	0.168860192	2/1/1978	cooler	cooler	cooler	-0.019	-0.038	1	-0.059	1978	1978/02
3	0.555121554	3/1/1978	warmer	warmer	warmer	0.048	0.292	1	0.01	1978	1978/03
4	0.067991835	4/1/1978	cooler	cooler	cooler	-0.042	-0.062	1	-0.081	1978	1978/04
5	0.259248463	5/1/1978	cooler	cooler	cooler	-0.07	-0.089	1	-0.103	1978	1978/05
6	0.913950842	6/1/1978	cooler	cooler	cooler	-0.117	-0.133	1	-0.147	1978	1978/06
7	0.78975629	7/1/1978	cooler	cooler	cooler	-0.042	-0.063	1	-0.082	1978	1978/07
8	0.908236424	8/1/1978	cooler	cooler	cooler	-0.166	-0.188	1	-0.203	1978	1978/08
9	0.07478161	9/1/1978	cooler	cooler	cooler	-0.034	-0.054	1	-0.068	1978	1978/09
10	0.640443561	10/1/1978	cooler	cooler	cooler	-0.096	-0.116	1	-0.133	1978	1978/10
11	0.196835532	11/1/1978	warmer	warmer	warmer	0.064	0.045	1	0.033	1978	1978/11
12	0.176346997	12/1/1978	cooler	cooler	cooler	-0.082	-0.1	1	-0.122	1978	1978/12
1	0.072684258	1/1/1979	cooler	cooler	cooler	-0.016	-0.038	1	-0.055	1979	1979/01
2	0.960636277	2/1/1979	cooler	cooler	cooler	-0.119	-0.14	1	-0.16	1979	1979/02
3	0.647589095	3/1/1979	warmer	cooler	warmer	0.039	0.252	1	-0.008	1979	1979/03
4	0.410182113	4/1/1979	cooler	cooler	cooler	-0.027	-0.048	1	-0.07	1979	1979/04
5	0.844844773	5/1/1979	cooler	cooler	cooler	-0.013	-0.03	1	-0.053	1979	1979/05
6	0.538153657	6/1/1979	warmer	warmer	warmer	0.075	0.058	1	0.039	1979	1979/06
7	0.186773182	7/1/1979	warmer	warmer	warmer	0.073	0.054	1	0.032	1979	1979/07
8	0.842921076	8/1/1979	warmer	warmer	warmer	0.1	0.08	1	0.054	1979	1979/08
9	0.276493234	9/1/1979	warmer	warmer	warmer	0.11	0.092	1	0.072	1979	1979/09
10	0.598292676	10/1/1979	warmer	warmer	warmer	0.146	0.131	1	0.104	1979	1979/10
11	0.192633538	11/1/1979	warmer	warmer	warmer	0.165	0.147	1	0.126	1979	1979/11
12	0.075136053	12/1/1979	warmer	warmer	warmer	0.371	0.356	1	0.336	1979	1979/12
1	0.52586415	1/1/1980	warmer	warmer	warmer	0.148	0.133	1	0.113	1980	1980/01
2	0.808604208	2/1/1980	warmer	warmer	warmer	0.235	0.219	1	0.197	1980	1980/02
3	0.46702959	3/1/1980	warmer	warmer	warmer	0.09	0.212	1	0.05	1980	1980/03
4	0.083929019	4/1/1980	warmer	warmer	warmer	0.156	0.14	1	0.118	1980	1980/04
5	0.276384762	5/1/1980	warmer	warmer	warmer	0.156	0.139	1	0.121	1980	1980/05
6	0.276232743	6/1/1980	warmer	warmer	warmer	0.082	0.07	1	0.052	1980	1980/06
7	0.02940055	7/1/1980	warmer	warmer	warmer	0.074	0.06	1	0.043	1980	1980/07
8	0.438205644	8/1/1980	warmer	warmer	warmer	0.05	0.036	1	0.017	1980	1980/08
9	0.761144602	9/1/1980	warmer	warmer	warmer	0.05	0.037	1	0.022	1980	1980/09
10	0.40948564	10/1/1980	warmer	cooler	warmer	0.022	0.007	1	-0.013	1980	1980/10
11	0.171212883	11/1/1980	warmer	warmer	warmer	0.15	0.131	1	0.116	1980	1980/11
12	0.164874813	12/1/1980	warmer	warmer	warmer	0.072	0.058	1	0.037	1980	1980/12
1	0.494737635	1/1/1981	warmer	warmer	warmer	0.345	0.334	1	0.31	1981	1981/01
2	0.962647729	2/1/1981	warmer	warmer	warmer	0.211	0.196	1	0.172	1981	1981/02
3	0.579741232	3/1/1981	warmer	warmer	warmer	0.222	0.207	1	0.186	1981	1981/03
4	0.34506402	4/1/1981	warmer	warmer	warmer	0.144	0.128	1	0.106	1981	1981/04
5	0.710618571	5/1/1981	warmer	warmer	warmer	0.084	0.066	1	0.048	1981	1981/05
6	0.16418574	6/1/1981	warmer	warmer	warmer	0.141	0.123	1	0.103	1981	1981/06
7	0.595926533	7/1/1981	warmer	warmer	warmer	0.108	0.094	1	0.074	1981	1981/07
8	0.654337311	8/1/1981	warmer	warmer	warmer	0.139	0.122	1	0.103	1981	1981/08
9	0.020430091	9/1/1981	warmer	warmer	warmer	0.088	0.072	1	0.052	1981	1981/09
10	0.903873018	10/1/1981	warmer	cooler	warmer	0.016	0.003	1	-0.017	1981	1981/10
11	0.11108116	11/1/1981	warmer	warmer	warmer	0.088	0.071	1	0.054	1981	1981/11
12	0.680752567	12/1/1981	warmer	warmer	warmer	0.285	0.267	1	0.248	1981	1981/12
1	0.505279723	1/1/1982	cooler	cooler	cooler	-0.028	-0.048	1	-0.074	1982	1982/01
2	0.838579544	2/1/1982	warmer	cooler	warmer	0.02	0.005	1	-0.02	1982	1982/02
3	0.936449765	3/1/1982	cooler	cooler	cooler	-0.11	-0.127	1	-0.152	1982	1982/03
4	0.52596821	4/1/1982	warmer	warmer	warmer	0.042	0.026	1	0.002	1982	1982/04
5	0.975602284	5/1/1982	warmer	warmer	warmer	0.063	0.043	1	0.02	1982	1982/05
6	0.810059341	6/1/1982	cooler	cooler	cooler	-0.031	-0.049	1	-0.077	1982	1982/06
7	0.492005256	7/1/1982	warmer	cooler	cooler	0.003	-0.019	1	-0.044	1982	1982/07
8	0.322938063	8/1/1982	warmer	cooler	cooler	0.01	-0.009	1	-0.033	1982	1982/08
9	0.53325141	9/1/1982	warmer	warmer	warmer	0.093	0.074	1	0.047	1982	1982/09
10	0.723437509	10/1/1982	warmer	cooler	warmer	0.022	0.005	1	-0.022	1982	1982/10
11	0.73694583	11/1/1982	warmer	cooler	cooler	0.01	-0.01	1	-0.03	1982	1982/11
12	0.70961079	12/1/1982	warmer	warmer	warmer	0.27	0.253	1	0.226	1982	1982/12
1	0.827528095	1/1/1983	warmer	warmer	warmer	0.449	0.431	1	0.405	1983	1983/01
2	0.617509884	2/1/1983	warmer	warmer	warmer	0.325	0.31	1	0.283	1983	1983/02
3	0.147525593	3/1/1983	warmer	warmer	warmer	0.228	0.209	1	0.182	1983	1983/03
4	0.756840363	4/1/1983	warmer	warmer	warmer	0.131	0.115	1	0.087	1983	1983/04
5	0.768594388	5/1/1983	warmer	warmer	warmer	0.157	0.135	1	0.113	1983	1983/05
6	0.958149972	6/1/1983	warmer	warmer	warmer	0.158	0.136	1	0.112	1983	1983/06
7	0.65293892	7/1/1983	warmer	warmer	warmer	0.17	0.151	1	0.131	1983	1983/07
8	0.830513108	8/1/1983	warmer	warmer	warmer	0.215	0.198	1	0.173	1983	1983/08
9	0.644255973	9/1/1983	warmer	warmer	warmer	0.207	0.188	1	0.164	1983	1983/09
10	0.499468904	10/1/1983	warmer	warmer	warmer	0.116	0.099	1	0.077	1983	1983/10
11	0.771886776	11/1/1983	warmer	warmer	warmer	0.281	0.257	1	0.239	1983	1983/11
12	0.937855088	12/1/1983	warmer	warmer	warmer	0.1	0.083	1	0.059	1983	1983/12
1	0.3578575	1/1/1984	warmer	warmer	warmer	0.14	0.12	1	0.1	1984	1984/01
2	0.318156968	2/1/1984	warmer	cooler	warmer	0.038	0.017	1	-0.005	1984	1984/02
3	0.729208555	3/1/1984	warmer	warmer	warmer	0.07	0.232	1	0.026	1984	1984/03
4	0.220040648	4/1/1984	cooler	cooler	cooler	-0.024	-0.041	1	-0.067	1984	1984/04
5	0.189703531	5/1/1984	warmer	warmer	warmer	0.111	0.09	1	0.071	1984	1984/05
6	0.77767867	6/1/1984	warmer	cooler	cooler	0.011	-0.014	1	-0.037	1984	1984/06
7	0.506170638	7/1/1984	cooler	cooler	cooler	-0.015	-0.034	1	-0.057	1984	1984/07
8	0.202191023	8/1/1984	warmer	warmer	warmer	0.061	0.04	1	0.019	1984	1984/08
9	0.711695835	9/1/1984	warmer	warmer	warmer	0.052	0.036	1	0.014	1984	1984/09
10	0.833092138	10/1/1984	cooler	cooler	cooler	-0.006	-0.023	1	-0.043	1984	1984/10
11	0.123052113	11/1/1984	cooler	cooler	cooler	-0.102	-0.124	1	-0.144	1984	1984/11
12	0.593242245	12/1/1984	cooler	cooler	cooler	-0.257	-0.277	1	-0.301	1984	1984/12
1	0.831440067	1/1/1985	warmer	cooler	warmer	0.03	0.008	1	-0.012	1985	1985/01
2	0.110803002	2/1/1985	cooler	cooler	cooler	-0.12	-0.138	1	-0.162	1985	1985/02
3	0.180300133	3/1/1985	cooler	cooler	cooler	-0.006	-0.026	1	-0.048	1985	1985/03
4	0.298800544	4/1/1985	cooler	cooler	cooler	-0.02	-0.035	1	-0.06	1985	1985/04
5	0.975749226	5/1/1985	warmer	cooler	cooler	0.014	-0.002	1	-0.022	1985	1985/05
6	0.287936582	6/1/1985	cooler	cooler	cooler	-0.043	-0.059	1	-0.079	1985	1985/06
7	0.474913212	7/1/1985	cooler	cooler	cooler	-0.037	-0.057	1	-0.076	1985	1985/07
8	0.350030113	8/1/1985	warmer	warmer	warmer	0.051	0.03	1	0.009	1985	1985/08
9	0.271208067	9/1/1985	cooler	cooler	cooler	-0.011	-0.03	1	-0.051	1985	1985/09
10	0.731625126	10/1/1985	warmer	warmer	warmer	0.04	0.021	1	0.002	1985	1985/10
11	0.15292601	11/1/1985	cooler	cooler	cooler	-0.056	-0.077	1	-0.096	1985	1985/11
12	0.285665518	12/1/1985	warmer	cooler	warmer	0.04	0.013	1	-0.014	1985	1985/12
1	0.602107701	1/1/1986	warmer	warmer	warmer	0.147	0.127	1	0.1	1986	1986/01
